channelID,channelTag,channelName,url
UCK1i2UviaXLUNrZlAFpw_jA,ElReinoInfantil,El Reino Infantil,https://www.youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA
UCbCmjCuTUZos6Inko4u57UQ,CoComelon,Cocomelon - Nursery Rhymes,https://www.youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
UCu60hbJGH8nlCSFwfVe_wwA,CoComelonEspanol,CoComelon en Español,https://www.youtube.com/channel/UCu60hbJGH8nlCSFwfVe_wwA
UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw
UC5ZiUaIJ2b5dYBYGf5iEUrA,NetflixLATAM,Netflix Latinoamérica,https://www.youtube.com/channel/UC5ZiUaIJ2b5dYBYGf5iEUrA
UCIrgJInjLS2BhlHOMDW7v0g,disneyplus,Disney Plus,https://www.youtube.com/channel/UCIrgJInjLS2BhlHOMDW7v0g
UC3uPK6zOTe0HOfcIkuzII0Q,disneyplusla,Disney+ Latinoamérica,https://www.youtube.com/channel/UC3uPK6zOTe0HOfcIkuzII0Q
UC2xjgvWb9cx5F637XjsUNxw,toycantando,toycantando,https://www.youtube.com/channel/UC2xjgvWb9cx5F637XjsUNxw
UCuSo4gcgxJRf4Bzu43wwVyg,mashaoso,Masha y el Oso,https://www.youtube.com/channel/UCuSo4gcgxJRf4Bzu43wwVyg
UCUY6t_N9MyEWu6I0ZXkbtKA,RatitasPandilleras,Las Ratitas,https://www.youtube.com/channel/UCUY6t_N9MyEWu6I0ZXkbtKA
UC_W0_Nv-3rxpWVvosddhrPw,kidstvsongs,Doggy Doggy Cartoons,https://www.youtube.com/channel/UC_W0_Nv-3rxpWVvosddhrPw
UCqNmJfc7RgMU6hTxOOuCYHQ,dianaandromaesp331,Diana and Roma ESP,https://www.youtube.com/channel/UCqNmJfc7RgMU6hTxOOuCYHQ
UCsm77kEHBDEPgD4Ir3jSRYg,ElReinoAJugar,El Reino a Jugar,https://www.youtube.com/channel/UCsm77kEHBDEPgD4Ir3jSRYg
UCHicabXz9rUMWLcdMqBtbxQ,LittleBabyBumEspanol,Little Baby Bum en Español,https://www.youtube.com/channel/UCHicabXz9rUMWLcdMqBtbxQ
UCKAqou7V9FAWXpZd9xtOg3Q,LittleBabyBum,Little Baby Bum - Nursery Rhymes & Kids Songs,https://www.youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q
UCVnu0ZtcaY9bpJgdxAaqagA,MejoresJuguetes,Mejores Juguetes,https://www.youtube.com/channel/UCVnu0ZtcaY9bpJgdxAaqagA
UCwjoPtSoNLAoX2sLBaKLYng,toysandfunnykids,Toys And Funny Kids Play Doh Cartoons,https://www.youtube.com/channel/UCwjoPtSoNLAoX2sLBaKLYng
UCQYkkC3Eb_0p08VqWQECfnQ,<test_tag>,<test_name>,https://www.youtube.com/channel/UCQYkkC3Eb_0p08VqWQECfnQ
